IID	FID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
C001	C001	0.0315027	-0.0145733	0.000667931	-0.0378934	-0.00201907	0.0329044	0.0321763	0.039181
C002	C002	-0.0377139	0.0254643	0.049014	0.00153256	0.265955	-0.0117792	-0.00151665	0.00712238
C003	C003	-0.0580444	-0.000379286	-0.0128765	0.00185052	0.102548	-0.00136115	0.00679616	0.00643055
C004	C004	-0.0650006	-0.00907266	-0.0367389	-0.000691295	0.000406732	0.00524822	0.00146894	-0.00358443
C005	C005	-0.0540517	-0.000956036	0.115229	-0.00539803	-0.0319934	-0.00266401	-0.00266386	0.00209218
C006	C006	0.0322012	-0.0165839	-0.00201258	0.0268102	0.00482835	0.0114931	-0.00591504	-0.0010244
C007	C007	0.0323891	-0.0165471	-0.00150613	0.0274148	0.00429078	0.00939746	-0.00517355	7.81989e-05
C008	C008	0.0315584	-0.0122434	-0.000388651	0.0482302	0.00569294	0.00313113	0.0529905	0.000788879
C009	C009	0.030618	-0.0196376	-0.00130784	0.0215249	-0.00181049	-0.00537013	-0.111884	0.140392
C010	C010	-0.0527186	-0.00434582	0.102592	0.000279434	-0.0390704	-0.0024591	-0.00916218	-0.00148169
C011	C011	0.0214098	-0.0200008	-0.00901401	0.0926261	-0.0170133	-0.0350194	-0.0757717	0.0222772
C012	C012	-0.0666029	-0.0131607	-0.06623	0.00204732	-0.0234419	0.000235067	-0.00495982	-0.00452973
C013	C013	0.0141627	0.145883	-0.0131832	-0.0089718	-0.0282594	-0.00574948	-0.0159335	0.0126622
C014	C014	-0.0578147	-0.00921499	-0.0100118	-0.00354146	-0.0185434	0.00311377	0.00085501	0.00998066
C015	C015	0.0153128	0.150233	-0.015589	-0.00786839	-0.0333562	-0.00431425	-0.00377548	0.0190601
C016	C016	-0.0693584	-0.0123127	-0.0753173	0.00180234	-0.000233098	0.00197447	0.00467163	0.00376637
C017	C017	-0.0687478	-0.0115078	-0.0458712	-0.00051967	-0.00983463	0.00154826	-0.000634564	-0.00552918
C018	C018	-0.0687972	-0.0122062	-0.0643036	0.000210251	-0.015981	0.000638678	-0.000807296	-0.0065394
C019	C019	0.0346157	-0.0229962	-0.00507435	-0.0675565	0.0031904	0.0478405	-0.0817911	-0.00706197
C020	C020	0.0340038	-0.0210124	-0.00477954	-0.0702535	0.00470463	0.0551765	-0.0861952	-0.0100746
